state,state_name,county,mentally_unhealthy_days,physically_unhealthy_days,pct_frequent_mental_distress,pct_excessive_drinking,injury_death_rate,age_adjusted_mortality,pct_frequent_physical_distress,pct_smokers,pct_insufficient_sleep,preventable_hospitalization_rate,pct_some_college,pct_fair_or_poor_health,pct_unemployed,length_of_life_pctile_within_state,median_household_income,pct_physically_inactive,length_of_life_quartile_within_state,pct_children_in_poverty,income_20th_percentile,pct_children_eligible_free_lunch,pct_diabetic,drug_overdose_mortality_rate
NC,North Carolina,Haywood,3.8,3.7,11.1,14.1,81.31899408,374.6,11.1,17.4,27.3,52.34,58.02987862,15.4,5.547397019,43.0,42812.0,23.9,2.0,26.7,18824.0,46.29726891,10.7,23.09052613
NC,North Carolina,Henderson,3.6,3.5,10.8,13.7,87.31417871,337.7,10.5,15.6,29.1,35.05,62.41481667,15.0,4.839039137,24.0,47286.0,24.3,1.0,22.0,20331.0,46.44033072,10.7,16.41561916
NC,North Carolina,Hertford,4.2,4.7,13.5,12.0,55.48710333,434.0,14.6,22.1,37.6,51.69,50.64662705,24.9,7.246998285,78.0,30056.0,32.6,4.0,35.3,12120.0,76.66136725,15.6,16.073753178079997
NC,North Carolina,Hoke,4.1,4.3,12.8,15.4,56.26560652,435.7,13.7,23.4,37.1,76.32,63.5918418,22.0,7.924883611,47.0,44175.0,29.8,2.0,28.3,17793.0,57.49550629,11.1,8.470766083
NC,North Carolina,Hyde,3.7,3.9,11.4,14.4,62.09894432,361.4,12.0,19.3,33.9,52.23,44.56163481,19.1,8.913649025,60.0,36891.0,28.9,3.0,28.7,24326.0,59.762308999999995,12.4,16.073753178079997
NC,North Carolina,Iredell,3.6,3.5,10.7,15.8,65.48829087,378.8,10.6,16.7,32.1,61.62,64.40420504,14.9,6.057746745,28.0,54026.0,22.9,2.0,18.5,22745.0,33.39896127,9.7,14.98279004
NC,North Carolina,Jackson,4.0,4.1,12.4,16.7,71.36520649,349.6,12.5,20.4,29.3,42.75,62.69360269,17.9,6.372413793,31.0,38130.0,27.7,2.0,27.8,14993.0,49.64162464,9.9,12.2601105
NC,North Carolina,Johnston,3.7,3.9,11.4,15.1,62.37977083,378.2,11.7,19.7,33.8,69.23,59.27778006,18.2,5.457405473,27.0,50055.0,24.1,2.0,21.6,21665.0,38.20181872,10.2,10.29330299
NC,North Carolina,Jones,3.9,3.9,11.9,13.2,57.07987246,458.3,12.0,19.1,32.6,28.35,60.29798422,18.8,6.371681416,86.0,38928.0,28.5,4.0,36.6,16077.0,69.70684039,13.8,16.073753178079997
NC,North Carolina,Lee,3.8,4.0,11.9,14.6,71.43877697,409.8,12.3,20.0,36.1,69.68,55.90592912,19.7,8.060931755,71.0,46073.0,24.7,3.0,27.5,19807.0,58.34168839,11.2,12.80317073
